,FABADA,Savitzky–Golay,LOESS,Fourier Transform,Median,Wiener
0,-1.4221515927245898,-0.2912502710429826,4.233898918348442,0.6884878215730476,0.0,-2.30911859062213
1,-1.5877234292330522,-0.009544694025465483,3.535215341944838,0.5977338192839086,0.0,-0.7782653734294362
2,-1.7755989199075313,0.240319984367521,2.864373005828287,0.6011609265860757,0.0,-0.08449961603022797
3,-1.6415338792945207,0.458343764135977,2.2206538760061885,0.693340433263622,0.0,-1.657349132891992
4,-1.6008698099472518,0.6445266452799023,1.6084645406473919,0.8657832210693875,0.0,-0.7119391409869517
5,-1.6762705044926483,0.798868627799297,1.0325578585107311,1.1069198641360036,0.0,-0.5239089225249606
6,-1.8816181685665585,0.9213697116941614,0.4956651619618508,1.4022730936387369,0.0,-1.4227751836571434
7,-1.9219573507640242,1.0120298969644947,-0.0011116892791935829,1.734866965952651,0.0,0.4540043242786492
8,-2.156540512232816,1.070849183610298,-0.4558157665028685,2.0858932759270044,0.0,-0.3205415292366416
9,-2.1331913248944407,1.0978275716315702,-0.8678208818924462,2.435623921466027,0.0,-0.014349244405993798
10,-2.5265525657941357,1.0929650610283121,-1.23558935919447,2.7645220197701774,0.0,-1.0868953629050795
11,-2.808174909986875,1.0562616518005234,-1.5632029105749907,3.0544699141418983,0.0,-1.4228703168352566
12,-3.195597514649601,0.987717343948204,-1.8583284956921393,3.2900046622797046,0.0,-1.0664934832921869
13,-3.417332530279356,0.887332137471354,-2.1340374385946936,3.4594365647428362,0.0,-2.0560678269537007
14,-3.5647942080290322,0.7551060323699738,-2.40618388279503,3.555727650432976,0.0,-1.710755934559353
15,-3.6873393152468323,0.5910390286440627,-2.690002215159277,3.577026248440595,0.0,-2.603032158754066
16,-3.61069961431916,0.3951311262936209,-2.9913806629894935,3.5267893894264732,0.0,-2.315680730999367
17,-3.340296492681189,0.167382325318649,-3.1550590085195065,3.4134724307733033,0.0,-0.29982653173494667
18,-3.036867876492374,-0.09220737428085446,-3.4079587158517453,3.249818268499165,0.0,-0.5293768146549809
19,-2.6988843623517114,-0.3836379725048875,-3.699373373879184,3.0518287426267694,2.5504526999596626,-0.46398059157909205
20,-2.3452345505410803,-0.7069094693534522,-3.9104233422546097,2.8375403317301022,-8.952461033881338,-1.7809430209249395
21,-2.441212969590071,-1.0620218648265465,-3.9222706612039238,2.6257483510073114,-10.181667673935292,-2.774425853208854
22,-2.6742529241727775,-1.448975158924171,-3.6998764448453056,2.4348246207560207,-10.181667673935292,-1.946569775129766
23,-2.4992217914653554,-1.8677693516463276,-3.252627461462357,2.2817523668838833,-10.181667673935292,-1.679817813133037
24,-2.5874495116225735,-2.3184044429930135,-2.6138480925182126,2.1814619751255813,-10.181667673935292,-2.188305226732669
25,-2.7205508028494028,-2.80088043296423,-1.8869708706874577,2.146498374291054,-10.181667673935292,-2.731886907476275
26,-2.579193532967539,-3.315197321559978,-1.1746322208735842,2.1869937402958124,-10.181667673935292,-6.376707179958927
27,-2.985102857327908,-3.8613551087805185,-0.5789628394973967,2.31086724507782,-13.103023203276916,-7.555135885911786
28,-3.161960281029735,-7.392769824581741,-0.16696361152082542,2.5241354396400646,-13.103023203276916,-7.061117372652436
29,-3.4509439277971055,-7.272252677070844,-0.019073044310062404,2.8311992082502395,-14.212611563533137,-9.591222134744502
30,-3.499443964314818,-8.860303299181407,-0.279688343478262,3.234979536856113,-14.212611563533137,-10.462780116747094
31,-3.5012550288917232,-11.616842216581142,-1.0014877889315472,3.73680429644976,-16.551548626196173,-11.5499548684723
32,-3.641793732062876,-12.239320904078454,-2.1410827472546994,4.335997746780532,-16.551548626196173,-11.522904212012289
33,-3.5368746074689326,-11.672852116205963,-3.602528659657537,5.029186188062321,-14.212611563533137,-9.834738403590064
34,-3.5839913497057467,-12.264444140520844,-5.273750761136358,5.809397643194425,-13.103023203276916,-9.680006415275358
35,-3.394647970432092,-11.217123326484261,-7.048194515521618,6.665090398887745,-13.103023203276916,-10.22040065312962
36,-3.1418478343992313,-11.289745292016306,-8.816461957057934,7.579285190255989,-11.600827325070778,0.04777297910673983
37,-3.6893498891819707,-6.242136962445484,-10.465471972292596,8.52899147372396,-11.600827325070778,-6.154819751276639
38,-3.9916546599097043,-6.282044171833095,-11.965053822631848,9.485105574043946,-13.103023203276916,-5.444602306471172
39,-4.38201048744552,-4.73915379306104,-13.27849851238303,10.412917422337017,-13.103023203276916,-5.541921675742324
40,-4.772436582278111,-7.156956841498365,-14.257126941656205,11.273297074224105,-13.103023203276916,-8.7339099903327
41,-4.887278120505492,-8.624058224153233,-14.878496252568683,12.024549760589863,-13.103023203276916,-6.539118359104828
42,-4.783025399663082,-9.386724652350676,-15.159645517354031,12.624839101142552,-11.600827325070778,0.2913225434111957
43,-5.166010302379357,-10.796202405567062,-15.07517917937289,13.03499391084514,-11.600827325070778,-3.1790971235522996
44,-5.455328017229616,-11.711919499130236,-14.673925591539815,13.221446263139525,-13.103023203276916,-3.8919599028524465
45,-16.104999941548126,-13.925413437290048,-14.012810438968273,13.159007063675496,-13.103023203276916,-38.23032989797899
46,-5.6211475262853785,-14.21582073785304,-13.162894395649358,12.833177341498947,-13.103023203276916,-9.81513765162067
47,-5.203078011103638,-14.888967604144618,-12.153418090377384,12.241721874590025,-13.103023203276916,-10.283414379159698
48,-4.972975418408969,-12.433422530475958,-11.06085792327624,11.395295257951522,-13.103023203276916,-12.945968327415917
49,-4.50694875697232,-9.406728190940997,-10.02356113250355,10.317003216920208,-11.95632959004205,-14.362478049805752
50,-3.380624095902294,-9.344187719119224,-9.093985158838317,9.04089399386344,-11.600827325070778,-9.74135602734417
51,-2.3713151586444714,-7.540323490460652,-8.270638244896777,7.609493148382957,-11.600827325070778,-9.575398155935975
52,-1.1208809948477396,-6.136458523201383,-7.439296944956839,6.070605741256349,-8.952461033881338,7.253522528697516
53,-0.38817834296371956,-4.797163638151163,-6.496331905067731,4.473698465407035,-8.952461033881338,-3.6478466056180996
54,0.4605663670530042,-1.5375278096361296,-5.397777579686541,2.8662287395931743,-1.1937176949846666,-13.73129171900847
55,2.5203219247128326,-2.718465303698383,-4.075224075635834,1.2902997571784842,-1.1937176949846666,38.30119927815593
56,2.1407009976433504,-1.5644400152806712,-2.4751067841220937,0.22001322690679556,-1.1937176949846666,-3.8896871155167543
57,2.7642646109509696,-1.8667619560117918,-0.5614938946825552,1.640396798705162,-1.1937176949846666,-3.679070476504671
58,4.168202129104666,-1.028663632696387,1.6497016277804881,2.9569360310397688,-11.600827325070778,23.667495030218834
59,3.950597855129889,1.1792446901842917,4.0788123092844835,4.165628321525305,-1.1937176949846666,10.85836021148213
60,3.9212089567523676,2.5893808754024152,6.53137004032238,5.270884485871699,-0.07819822671984963,3.2491277653399875
61,3.98126915183268,4.078031334938803,8.768442774656796,6.283248344577546,-0.07819822671984963,3.4947452381980413
62,4.002000314584251,5.208814701659023,10.621440384199385,7.216656140231159,-1.1937176949846666,1.630320059108171
63,3.9773201407157317,5.288514545494912,12.051286790552037,8.085603591519652,-1.1937176949846666,-3.9609383117619563
64,2.938266205746845,8.361160085791791,12.976917364301404,8.902584814014721,5.714695666196128,-30.24262898589677
65,4.834736264994598,8.67485815427591,13.33119527594075,9.67611460781186,6.6825569225712,6.872896935324954
66,5.61635047938607,11.088170827611721,13.18133507003439,10.409551940853664,9.705905717536966,6.918140834549156
67,6.798369597051832,13.425087287889102,12.727431398161363,11.100822180792711,9.705905717536966,10.173691836396031
68,7.624746801720986,12.793043434591832,12.197043731536239,11.743006955599824,9.705905717536966,9.748155826926274
69,8.202361676970428,15.305210488784425,11.778311884339594,12.325652594884303,10.979222274852898,10.624462352167805
70,8.808520897757463,16.728641887414526,11.584417520844873,12.83655788370537,10.979222274852898,10.67467040309752
71,9.151967111167563,17.692240123877458,11.697470972135187,13.263751414695271,11.14891143094584,12.874093155139375
72,10.276377556951921,21.44927280235897,12.117575178873333,13.597363488667684,11.14891143094584,12.412903532961531
73,9.83468003960612,17.26017063159472,12.738847035642625,13.831135277214521,12.086574026199017,14.098504486881215
74,10.097011667143436,16.10813034845359,13.485432863658767,13.963380151484516,12.086574026199017,15.317594712112072
75,9.60325016780116,16.520950310611028,14.28893184110027,13.997305191411968,11.14891143094584,11.215177604541811
76,9.284633301022184,17.16005021748682,15.003706656889346,13.94069914842696,12.086574026199017,13.148273500270335
77,9.270491651927651,16.578543713022345,15.519659639381917,13.805081311592566,12.086574026199017,12.337009414237214
78,9.406652181327374,13.797323095516003,15.735586334827374,13.60447162317019,12.086574026199017,10.670130617700138
79,9.477439821735926,11.131597883103932,15.567440252127767,13.353978571041146,12.086574026199017,10.377458000775361
80,9.54263832121507,11.72976168341152,15.02803647743395,13.06840589731094,12.086574026199017,8.138076631777531
81,9.933629704317662,11.534400815317014,14.197158330896237,12.761055187644713,14.783389837640522,8.539895213656624
82,10.430848765239976,7.266695536984759,13.272877360392389,12.442856052293132,17.184532405630517,9.703980029772211
83,10.52528725023322,10.305384820665873,12.409663862720787,12.121898168430718,17.184532405630517,9.979280392817039
84,10.557868674932458,10.812555924047224,11.64829247473243,11.803379538921222,17.184532405630517,11.70038617404091
85,10.468011360362384,9.900337854107143,10.994794646074604,11.489931277076133,17.184532405630517,11.109939201900046
86,10.34119840411986,12.164138744356665,10.489320937066891,11.182237057214447,19.269570977340265,13.710681255286044
87,10.27338719206635,12.486164435683348,10.140893552500362,10.879838329303483,19.269570977340265,13.565943276935213
88,10.480691800650316,13.702403766093074,9.8880523633197,10.58200515361853,17.184532405630517,12.824360786721622
89,10.644602160640279,14.826564532926227,9.651704271304816,10.288555745836808,14.783389837640522,11.811550449289165
90,11.071747384451704,14.540598932045995,9.388589515285393,10.000522983701556,14.783389837640522,13.1679457616451
91,11.212844436027751,13.622973933153554,9.115416961507755,9.720590147984122,16.627741916467553,13.31277959860958
92,11.305516992820943,10.119735442401577,8.819907917583627,9.453247974028574,14.783389837640522,10.274819653884789
93,11.096002206562494,9.415049947466832,8.513647745547587,9.204657812357189,14.143765972453382,9.845691824415084
94,11.013438539968552,8.482191993178473,8.28842284469696,8.982238687176133,11.14891143094584,8.411619636396921
95,11.29447187686727,5.376334758527021,8.194579440797312,8.794026740197515,11.14891143094584,9.027664260329948
96,10.999125706187066,3.8975520065361424,8.207994130426112,8.647881380685158,11.14891143094584,9.230691615809038
97,11.391945952229781,4.443911281157464,8.313442799283663,8.550630874577946,11.14891143094584,9.117072699389436
98,11.494553078722223,6.250380436208795,8.532254342806722,8.50725877604711,11.14891143094584,9.331090157944878
99,10.968179277127517,7.956643361190769,8.841578314426174,8.520229838495503,14.143765972453382,9.703393095885852
100,11.903916715936152,10.228189145894737,9.12361565720839,8.589039232300488,14.143765972453382,10.891467868470048
101,12.345531406257054,8.946547426798594,9.28609304635568,8.710042931426797,14.143765972453382,10.690572570183413
102,12.199141755163161,11.249433467629478,9.297865480751524,8.876592598310108,11.14891143094584,7.720251348525876
103,12.150527451151993,13.293342372041383,9.179160494863465,9.079459383146327,11.14891143094584,10.504842457407321
104,12.774473053933631,13.56107118430368,8.993816480537596,9.307493096993044,11.14891143094584,11.929925735969265
105,14.02026812133322,12.920740560603637,8.81268662319979,9.548431947297676,10.343726905576084,11.567544827919255
106,14.555159954561299,10.433759639067217,8.688834915589844,9.789758611651818,10.343726905576084,10.727194156884313
107,14.670675750519148,11.747417925099276,8.76985328292745,10.019494517108184,10.343726905576084,9.960228833532549
108,14.817634842233446,9.413753391226908,9.141453076659538,10.226837117362091,9.731110190514448,9.30790908431673
109,16.007310948759116,7.518407788557276,9.780698966950542,10.402573292317149,10.343726905576084,13.649900470495584
110,15.64351414200731,10.443246259314538,10.565205930986531,10.53924158819875,9.731110190514448,10.206944455078935
111,15.255164553402443,10.129982678418152,11.336696112358723,10.631060549446794,6.3907124559550645,6.1512270832035165
112,16.078183880113155,10.824829834756477,11.974801480720245,10.67368235474709,5.136715563389848,5.779698698864009
113,16.49059731643355,9.772070076115533,12.430579811794834,10.66386293157804,5.136715563389848,5.726184987230912
114,17.342471175665455,9.496325440179648,12.685357701337947,10.599155680045637,6.3907124559550645,12.249603677416092
115,16.66896706294732,6.482843309821863,12.649047212351853,10.477732451008645,5.136715563389848,2.1474048210439665
116,17.0885364838355,5.993385557925062,12.249319036251876,10.298412362530339,6.3907124559550645,4.472903376350391
117,18.577209782232813,3.214352456749716,11.536228791900626,10.060939731286073,6.3907124559550645,9.44263290478661
118,19.159604350080556,6.825202851643201,10.601111464014354,9.766503160011608,5.136715563389848,7.561359180578842
119,19.465719614023392,5.143137076278184,9.494575721679206,9.418436929497902,6.3907124559550645,7.8190668090970785
120,19.707444580238388,6.841778261922664,8.356420736741809,9.023002095914668,5.136715563389848,5.708383228351948
121,19.488556912726924,4.686013706987153,7.363572531849872,8.590115877596098,5.136715563389848,2.7207613446512404
122,25.67864229394283,3.7838218898530194,6.580046443442555,8.133889421371164,5.136715563389848,17.059183689278406
123,24.996808432089203,7.223478147974454,5.997984551201226,7.672847915849224,6.3907124559550645,17.02391769421092
124,22.617772031104906,7.5102051651782125,5.573419359221168,7.229741636584143,9.731110190514448,11.511454027170943
125,20.788566147414357,7.512732727737605,5.290025054078957,6.830906885458673,9.731110190514448,8.115458895755676
126,19.12613449378703,10.019751601894027,5.114787756481826,6.505194515549204,6.3907124559550645,-0.9481597279002525
127,22.898051699126746,6.870596156201833,5.015393776167304,6.2825422915670135,6.3907124559550645,6.0598746684101865
128,28.836791942560986,8.042461284185707,5.028447724031524,6.192317528643457,9.731110190514448,24.094515035570126
129,24.698928491948866,7.878195837716545,5.215587375560351,6.261591686886963,9.731110190514448,7.477976586283199
130,21.617062271760418,7.044780058057723,5.50700344302127,6.513524773021023,9.731110190514448,-1.8279762315189707
131,23.08998834733027,3.835035154041128,5.877535137038882,6.9660332566879495,9.731110190514448,-0.09845146788042669
132,27.939208632128885,0.4373536729649514,6.340722675870329,7.630892156502553,6.3907124559550645,6.758099353108482
133,37.11918781593641,1.0533194417313219,7.021483700134349,8.513383456335216,6.3907124559550645,34.07059035603557
134,26.853266158003258,2.604398274569264,8.008113013647307,9.612553758224397,5.136715563389848,-5.165080293123639
135,35.95282667756644,2.7054926036562335,9.249941914275144,10.922089110664144,6.3907124559550645,17.34809064960087
136,39.42473964782546,1.4937331924060004,10.680926097978555,12.43175900961574,14.985665759303433,23.47790037112736
137,30.774564914685374,2.0347415996525764,12.292019382462499,14.129328719698835,14.985665759303433,-6.7929845525667645
138,41.65515787670185,2.644115523455406,14.053810539964346,16.002792643337827,14.985665759303433,20.640037261212196
139,41.24918814817396,3.6657678790336106,15.930104082035113,18.042744271325148,16.0802996405179,10.999332986166024
140,48.38293364785937,8.450255446578145,17.769998708740175,20.244672800146848,23.11527346984298,37.77541962112925
141,47.1389590765357,9.733093552155998,19.531454384030468,22.610965234116225,23.684434189761742,17.2864717345538
142,54.875990951962244,15.049140664032148,21.308589916657922,25.152398024932808,23.684434189761742,51.53664108531212
143,54.45031473864318,19.393029519139592,23.299364779146202,27.888925943012122,23.684434189761742,31.083850044192943
144,60.20228159509284,21.821827380250387,25.703445654205268,30.84961887213323,28.97333115842015,61.20290563772048
145,49.55332319389028,28.73727082735263,28.594661682210496,34.071658908338655,44.48004238526499,-32.887420632851466
146,66.78375822005891,33.82715628907142,31.94188036310507,37.59838766703974,46.23686792179903,85.38694959734049
147,64.47181635382441,38.61663378221533,35.791240165696905,41.476481689087315,49.34486297929904,28.651279904467298
148,72.89041889067427,43.35568585401866,40.25231587286203,45.75242451469445,49.34486297929904,92.62366348929895
149,72.57216688547724,44.42603372648838,45.44874248904564,50.468527796047205,63.33150014259792,51.686117171248895
150,66.99036183185113,54.21498816330322,51.38998739868971,55.65882045622067,69.56360375908076,-0.7339769687077506
151,70.31150784296382,63.43065477145916,57.94341687266205,61.34516476248064,73.21005787092884,3.846821249111173
152,83.97016086282484,71.58253383725821,64.96805554413496,67.53396383544066,77.74575011814973,68.8094562135904
153,79.58788851198703,77.36244859793,72.35928688370025,74.2137926552397,77.74575011814973,3.914109986197218
154,92.68515386276275,82.77596905707625,80.00553808894573,81.35421460458383,80.0462471702218,75.52660509163584
155,95.62975182317444,90.80607364401558,87.85998052978287,88.90594335579135,99.33444055035896,35.545362229630605
156,102.82568625962796,100.75002876192696,95.88804767570555,96.80238525930974,100.77372926869619,101.16871238184339
157,107.77489759858915,107.98463641665442,104.02673018877668,104.96246354191051,105.5713582741343,87.33517449531324
158,113.0117439901777,113.6825770145514,112.2255028950815,113.29449765068277,115.79096766968047,132.693586693851
159,118.30264898354,122.49987149019519,120.47869297519634,121.70080402697889,121.77027989379344,158.76184034009955
160,122.92512980755176,129.68281443456394,128.7836651239937,130.0826115103906,132.15573722886876,133.57779984536782
161,127.327008815108,140.97797008850293,137.2114715707224,138.34485475100576,135.02591959663772,124.73804875253879
162,133.08565808765962,147.35334338007274,145.7909061891984,146.4004266780846,136.83904238551244,153.3580716971124
163,140.6157251776615,155.47215513667052,154.5174285016093,154.1735347203856,157.04542767913853,185.3824239068438
164,158.54785433703952,163.18512210403105,163.22642404158043,161.60190789764448,157.88508305575553,243.15886425075803
165,156.26714991855312,168.57857884927822,171.73518117939943,168.6377310269931,168.58909537920385,220.79394700824736
166,153.00741385003664,176.45024013153562,179.81099945595744,175.2473226314164,173.101882104467,189.10106513021944
167,148.78248263687448,183.40872618894537,187.24995809870228,181.40970777698138,173.101882104467,128.24715611775954
168,168.95378937858493,190.89329539187318,193.95168127117847,187.11434983648294,196.93672590938985,239.22815863828737
169,159.4597767063458,195.83013126881679,199.89432436457975,192.35838280959038,196.93672590938985,172.53799780273647
170,160.5624868539796,201.87812972611363,205.06030662747636,197.1437197179102,197.90518391212538,163.7616705410961
171,174.26084406991046,207.82100359635166,209.4375069353185,201.47439992669982,202.60288670754716,218.8222315945737
172,163.05328978004363,211.00353914654187,213.03734819571656,205.3544823161136,203.3936181491496,153.5199571472577
173,174.90118348493132,213.34271170108406,215.89935337303382,208.78670085760555,203.3936181491496,200.32982524308434
174,180.1744426987374,218.79813960441027,218.08460333971155,211.77198732874498,203.3936181491496,207.45781489543543
175,182.6918346820744,221.48373204882358,219.69887518064445,214.30984781378282,203.3936181491496,205.85360226666185
176,216.0772224330569,224.41713032186206,220.86686014491377,216.39947047698402,203.3936181491496,232.66974718966708
177,189.3240089714773,229.43869737954796,221.70337104161092,218.04135494067768,203.3936181491496,207.38937102112396
178,191.25017623287846,230.4211654043245,222.29903556975518,219.2391977545284,206.0663458120212,208.126977531304
179,186.86841134912368,231.10651022380566,222.70096884355183,220.00174845752457,206.0663458120212,206.3560485515925
180,198.6965485286491,231.99504164303625,222.89450072763952,220.34436622581217,207.75180260343,216.63571761269833
181,196.75132567753076,229.5316224684305,222.82029095148016,220.29005332219177,207.75180260343,213.70176831313478
182,188.453870505609,229.29561868616952,222.38248459895888,219.86981055817844,207.75180260343,212.8355374582809
183,192.12647784150212,228.01405573180847,221.5274389042705,219.12224203292146,208.81373180223247,213.33486776168849
184,196.3327430400702,228.6024920143906,220.35491093627027,218.09242153044278,208.81373180223247,214.56994559779338
185,197.74379406684744,224.02275643226457,218.94673195139632,216.83011210142814,207.75180260343,216.0090988262477
186,184.34423798769475,221.82628355295896,217.2988618675999,215.38749628949847,207.75180260343,203.8146143962386
187,191.31017326636524,218.7230631771496,215.47416202930143,213.81662213184268,207.75180260343,211.56847526361486
188,187.2064740346883,217.49623834314457,213.60639409560554,212.16679659995938,206.0663458120212,207.81820214144554
189,189.07830054992814,213.14777302052698,211.7368721072854,210.48216259936567,206.0663458120212,209.0766953964017
